Código;Descrição;Local
F22075F5A42B;F2 20X7,5 5X112 A ET42 BLACK F.L;17E       
F22075F5A42BD;F2 20X7,5 5X112 ET42 BLACK DIAMOND F.L;C9        
F22075F5A42HG;F2 20X7,5 5X112 A ET42 HYPER GLOSS F.L;19D       
F22075G5A42B;F2 20X7,5 5X114 A ET42 BLACK F.L;20E       
F2501870S863HD;F250 18X7,0 8X170 ET6,30 HYPER DIAMOND;C7        
F2502085S875HD;F250 20X8,5 8X170 ET7,5 HYPER DIAMOND;C7        
F31760B4D36HG;F3 17X6,0 4X100 D ET36 HYPER GLOSS;65D       
F41560B4C38HG;F4 15X6,0 4X100 ET38 HYPER GLOSS;28E       
F52080B5A40BD;F5 20X8,0 5X100 A ET40 BLACK DIAMOND;20D       
F52080B5A40GS;F5 20X8,0 5X100 A ET40 GLOSS SHADOW;19E       
F52080B5A40HG;F5 20X8,0 5X100 A ET40 HYPER GLOSS;15E e 18E 
F52080F5A40BD;F5 20X8,0 5X112 A ET40 BLACK DIAMOND;19D       
F52080F5A40GS;F5 20X8,0 5X112 A ET40 GLOSS SHADOW;20E       
F52080F5A40HG;F5 20X8,0 5X112 A ET40 HYPER GLOSS;15D       
F52080G5A40GS;F5 20X8,0 5X114 A ET40 GLOSS SHADOW;17D       
F52080G5A40HG;F5 20X8,0 5X114 A ET40 HYPER GLOSS;18D       
F861560499SS;F86 15X6,0 4X99 ET38 SILVER STAR;C9 D      
FF190619855113BF;FF1906 19X8,5 5X113 ET40 PRETO FOSCO;
